Province,Party,Party Position,Majority/Minority
,,,
Alberta,United Conservative Party,Centre-right to right-wing[3][4],◕ Majority
British Columbia,New Democratic,Centre-left to left-wing[5][6],◔ Minority
Manitoba,Progressive Conservative,Centre-right,◕ Majority
New Brunswick,Progressive Conservative,Centre-right,◔ Minority
Newfoundland and Labrador,Liberal,Centre to centre-left,◔ Minority
Nova Scotia,Liberal,Centre to centre-right[8],◕ Majority
Ontario,Progressive Conservative,Centre-right,◕ Majority
Prince Edward Island,Progressive Conservative,Centre-right,◔ Minority
Quebec,Coalition Avenir Québec[9][10],Centre-right,◕ Majority
Saskatchewan,Saskatchewan Party,Centre-right[11][12][13][14],◕ Majority
Northwest Territories,Consensus government,Nonpartisan,
Nunavut,Consensus government,Nonpartisan,
Yukon,Liberal,Centre to centre-left,◕ Majorit
